Gene = jv
Position 25551: 0.0008725480958039592
Position 1399: 0.0008267850274738791
Position 20863: 0.0007758558975597267
Position 1697: 0.0007710614683888634
Position 743: 0.0007467983022974419
Position 2277: 0.0007449447437488925
Position 6015: 0.0006728715436712243
Position 2268: 0.0006592460112804565
Position 569: 0.0006004581804076229
Position 19303: 0.00055163029123139
Position 25066: 0.0005044274129873548
Position 8104: 0.00047780324075760066
Position 24304: 0.00038867126338760236
Position 347: 0.0003864509142903478
Position 24282: 0.0003183070349092542
Position 18766: 0.0003035101296853044
Position 1027: 0.0002684757322628654
Position 25144: 0.00024833659423124346
Position 474: 0.0002462406468469705
Position 5409: 0.00023459754978427623
Position 6064: 0.00020996620668446678
Position 2206: 0.0002034472442503119
Position 285: 0.00019533215576562733
Position 1148: 0.00019170104674584085
Position 807: 0.00019133538803895413
Position 1582: 0.0001393926661878627
Position 870: 0.00013663473920397983
Position 307: 8.41587798171659e-05
Position 21183: 7.511179966050384e-05
Position 538: 6.925185321195487e-05
Position 466: 5.728296894971703e-05
Position 652: 4.784663132770876e-05
Position 5478: 4.148619369590198e-05
Position 444: 3.079558297629654e-05
Position 709: 2.8457820313308134e-05
Position 659: 2.388676009602887e-05
Position 573: 2.3502027096549254e-05
Position 298: 2.0666511970517618e-05
Position 1161: 9.134024027017634e-06
Position 4441: 6.8180601044162296e-06
Position 385: 5.114939940948343e-06
Position 785: 3.938260139919216e-06
Position 478: 2.529341847010365e-06
Position 176: 2.029836421805388e-06
Position 3573: 1.9155659952713922e-06
Position 5565: 1.2581850260873954e-06
Position 2074: 8.057870898362687e-07
Position 153: 9.374595129234864e-08
Position 103: 1.8383277500636443e-08
Position 107: 1.5866238770460104e-08
Position 273: 6.576955142009904e-09
Position 222: 2.0431282250221345e-09
Position 238: 1.192215233651329e-09
Position 262: 1.1046418184602637e-09
Position 236: 2.3168050221666372e-10
Position 329: 2.2048986537418714e-11
Position 70: 1.1634202715940807e-12
Position 224: 1.514679760429608e-15
