Gene = Tsf2
Position 225: 5.979132782181345e-10
Position 215: 5.134710984037593e-10
Position 1214: 1.438494804648019e-10
Position 1220: 1.225114301955749e-10
Position 1888: 5.406921949871816e-11
Position 1789: 3.2110008668022065e-11
Position 1163: 3.189479282318692e-11
Position 1782: 6.979840254804783e-12
Position 1694: 6.539949008430421e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1917: 0.9902246490193426
Position 752: 0.9867837477147333
Position 1686: 0.9798525208983306
Position 245: 0.9717186102287961
Position 951: 0.858818696858045
Position 1171: 0.7764803419400211
Position 2805: 0.10452772841331828
Position 557: 0.057103837623166995
Position 1466: 0.03549339272114185
Position 1720: 0.017685106985435718
Position 1158: 0.01762171562657591
Position 1298: 0.014913982348007846
Position 517: 0.011686305825069123
Position 720: 0.011568236204623899
Position 1245: 0.01013475216436317
Position 3174: 0.007739239772209602
Position 2363: 0.007121976810210183
Position 2849: 0.005776950654181721
Position 119: 0.005270662322738249
Position 122: 0.005028856763330152
Position 2390: 0.004389661312042656
Position 976: 0.004093988077786437
Position 3281: 0.0038354232341476385
Position 1992: 0.003698995967574108
Position 1180: 0.0030844559904729457
Position 2844: 0.002528813901805879
Position 2870: 0.001688814394252708
Position 2739: 0.0016615391831545506
Position 442: 0.0016261575581188459
Position 2762: 0.001558688112386847
Position 2604: 0.0015174019536896048
Position 1514: 0.0014393390263372347
Position 2330: 0.0013817379794344154
Position 1173: 0.0012337930638225498
Position 3156: 0.0011999336996859123
Position 3133: 0.0011316973057815417
Position 1304: 0.001073013662209731
Position 142: 0.001066871071102169
Position 1694: 0.0009376379956117048
Position 3069: 0.0008927218380849431
Position 1930: 0.000872713900742849
Position 1004: 0.0008206608431830505
Position 3001: 0.000759690083365457
Position 1740: 0.0006576472415752542
Position 405: 0.0006522591511602891
Position 1428: 0.0006047331522745872
Position 1522: 0.0005432544432289865
Position 1261: 0.0005326884073163639
Position 3021: 0.0005192508856401725
Position 1948: 0.0004879180261572389
Position 1377: 0.0004284038394992471
Position 2637: 0.0003845798524744485
Position 1747: 0.00036869849754209535
Position 1443: 0.0003534831210707222
Position 584: 0.0003507680712881154
Position 568: 0.0002754832247027404
Position 1962: 0.00023802428514351875
Position 2178: 0.0002377991182347574
Position 439: 0.0001870852458588325
Position 2922: 0.00018072254872393903
Position 1511: 0.00016819968895562644
Position 3201: 0.0001672430271905563
Position 1728: 0.00016665777654101635
Position 1496: 0.0001542622138919156
Position 3113: 0.00014253088725356568
Position 1572: 0.00013716034156247464
Position 2756: 0.0001319747129185127
Position 2172: 0.0001309864201460527
Position 1317: 0.00012667726476138025
Position 1473: 0.00012488857640251426
Position 2295: 0.00011981001514561568
Position 760: 0.0001159638643385479
Position 797: 0.00011354604305462317
Position 1326: 0.00011192587432668073
Position 2307: 0.00010070604630535439
Position 2685: 8.288844761235245e-05
Position 2490: 7.700153741039717e-05
Position 2631: 6.690955383076675e-05
Position 571: 6.532084305226272e-05
Position 271: 6.400250679825657e-05
Position 2284: 5.6642269934871456e-05
Position 1488: 4.983335417925252e-05
Position 1382: 4.8266819834343386e-05
Position 764: 3.1277962500912826e-05
Position 3223: 3.0870799781983344e-05
Position 211: 2.6042256555100144e-05
Position 1539: 1.4855276729770957e-05
Position 642: 1.4260430185085237e-05
Position 1845: 1.1675798480643678e-05
Position 1782: 1.0998682442591845e-05
Position 225: 1.0548936664288305e-05
Position 77: 1.041194171606183e-05
Position 1789: 9.515899786446993e-06
Position 1335: 8.867436403881194e-06
Position 1569: 6.54667271839208e-06
Position 1197: 6.112445600651942e-06
Position 1406: 5.9602212086048315e-06
Position 1795: 5.889279807539923e-06
Position 986: 5.5255253515557316e-06
Position 2014: 5.305000724639726e-06
Position 1113: 5.23937216771813e-06
Position 325: 4.940491141748006e-06
Position 1379: 4.436952228816665e-06
Position 1052: 4.197091724024383e-06
Position 1347: 4.120556086300449e-06
Position 903: 4.048358358644191e-06
Position 1314: 3.637873313445528e-06
Position 2011: 3.583166525136027e-06
Position 1323: 3.4282577876797263e-06
Position 304: 2.0540457062112963e-06
Position 1025: 1.737321740337256e-06
Position 2002: 1.669286318639426e-06
Position 298: 1.482974392252917e-06
Position 520: 9.688768017503793e-07
Position 313: 8.803564172737679e-07
Position 177: 4.5237204305540307e-07
Position 2136: 4.4774428150091927e-07
Position 616: 2.6952874623040303e-07
Position 1623: 2.2818179926377327e-07
Position 310: 2.2635124160782858e-07
Position 1055: 1.5486391511718027e-07
Position 803: 1.483691339287125e-07
Position 265: 1.0818882669508157e-07
Position 1821: 4.007272448276407e-08
Position 197: 3.3900851334919444e-08
Position 696: 3.348207698537686e-08
Position 1850: 2.3746722508042862e-08
Position 2088: 1.6762534041287522e-08
Position 346: 1.453940917523682e-09
Position 370: 1.2777274563338885e-09
Position 1879: 3.733788230499345e-11
Position 300: 2.406860135738492e-13
