Gene = SELENBP1
Position 6911: 0.00036334538630461617
Position 1495: 0.0003384043575645516
Position 6891: 0.00032161291859292176
Position 1296: 0.00026526725077501725
Position 1403: 0.0002638542232623973
Position 3685: 0.00022438219605399934
Position 6303: 0.00019806445133651847
Position 4692: 0.00019603735627670527
Position 7766: 0.00019368945063669493
Position 2291: 0.00018831169193369963
Position 2606: 0.0001858426983116428
Position 3756: 0.0001815317128185334
Position 6898: 0.00015553257671105096
Position 2072: 0.00015098850447649455
Position 2017: 0.00013317477031782486
Position 1453: 0.00013274748498456171
Position 7897: 0.0001275761510353853
Position 694: 0.00012702265135692954
Position 2311: 0.00011066893862599357
Position 7600: 9.361365364757006e-05
Position 2649: 8.716731652630628e-05
Position 2887: 8.673302728827521e-05
Position 6532: 8.519848830436158e-05
Position 4583: 6.428063143684056e-05
Position 1435: 6.094766380864641e-05
Position 4550: 3.364528211316492e-05
Position 4627: 2.1586533627798077e-05
Position 3471: 2.0514343626353724e-05
Position 4684: 1.5900092471126114e-05
Position 3256: 1.4207828922994857e-05
Position 6498: 1.0722580221358544e-05
Position 8168: 9.67319572604577e-06
Position 3262: 7.417191780495877e-06
Position 108: 3.826278287616958e-06
Position 77: 1.2934381318758093e-06
Position 5956: 1.070395443086189e-06
Position 2262: 8.570040186830681e-07
Position 185: 3.860632982149181e-07
Position 204: 2.963712647621343e-07
Position 75: 2.6777287763683683e-07
Position 1703: 2.3018927411725746e-07
Position 134: 1.512375410916963e-07
Position 83: 5.084732887626803e-08
Position 963: 2.157494096857944e-08
Position 442: 9.254705796473957e-09
Position 956: 6.701430412322906e-09
Position 707: 5.626590740457564e-09
Position 658: 2.2086455270979063e-09
Position 231: 7.612265515162801e-10
Position 224: 4.905487094070978e-10
Position 207: 2.6656962528181203e-10
Position 516: 2.6942564860862208e-11
Position 481: 6.49684306458527e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 7688: 0.975000310529562
Position 4413: 0.9601410408788976
Position 7048: 0.9326824696272743
Position 7451: 0.8838707173983364
Position 8027: 0.84966352930052
Position 6886: 0.8124118310987359
Position 5828: 0.5899964396304815
Position 3178: 0.5893948905607468
Position 6279: 0.5394350134192293
Position 3543: 0.5081855933970492
Position 2897: 0.3514439253003115
Position 2754: 0.27029223926897017
Position 2799: 0.11654168516676129
Position 6796: 0.1164544737092058
Position 2963: 0.08885167693477466
Position 8049: 0.0859367625475007
Position 3751: 0.0822542554107368
Position 6393: 0.07643799617249482
Position 6595: 0.06713535802353479
Position 3118: 0.05619157119638363
Position 4800: 0.051371545322794684
Position 6704: 0.04425263219471961
Position 4056: 0.035539354397650984
Position 6110: 0.03217359095483588
Position 4284: 0.03209238163220159
Position 3783: 0.02737373071633571
Position 2926: 0.02402496362953
Position 231: 0.022485342900276612
Position 5557: 0.01980568701096476
Position 7912: 0.018279617349077838
Position 272: 0.01820038354191364
Position 4248: 0.01801043583242711
Position 6351: 0.012252194438093776
Position 7100: 0.011846552500616184
Position 6371: 0.009833221833078793
Position 7972: 0.008647518639567874
Position 2574: 0.008059512489074841
Position 4002: 0.007778180883991545
Position 2447: 0.007522044074116949
Position 7468: 0.007400232542705255
Position 5926: 0.00709527634412838
Position 5391: 0.006730011239998339
Position 6840: 0.00668720158114594
Position 7149: 0.006189607864995036
Position 6857: 0.0055880258132584145
Position 7877: 0.005068905080458769
Position 7305: 0.00499370378474742
Position 5672: 0.004632334333042819
Position 4309: 0.004617411779576649
Position 6677: 0.00429484672391434
Position 4469: 0.004250229182784175
Position 5416: 0.0042048817421088845
Position 8032: 0.004016728086868435
Position 4745: 0.0038361968169757462
Position 3576: 0.0035694142904402646
Position 7715: 0.002611190028564141
Position 1567: 0.0025076646213107127
Position 7950: 0.0024124602821100254
Position 4721: 0.0022652465213794802
Position 2041: 0.0022300270643576285
Position 2044: 0.0020422404045357797
Position 7645: 0.002029193002436805
Position 7724: 0.002009280831154956
Position 3368: 0.001972907772657919
Position 6317: 0.0019056861362716003
Position 1348: 0.0018257813678939283
Position 6734: 0.0018088534051163634
Position 383: 0.0017639077745850139
Position 5563: 0.001763689684650217
Position 5626: 0.0017508352202894198
Position 8286: 0.0017460684754733499
Position 7854: 0.0016948577044668771
Position 5949: 0.0015162716884588345
Position 1694: 0.001425067284672276
Position 3226: 0.001382934378340148
Position 5583: 0.0013791795427385292
Position 6427: 0.0013620267195577971
Position 3185: 0.001244576795761801
Position 2769: 0.001218099459589565
Position 2779: 0.0010074209505468597
Position 4073: 0.0010061216773944674
Position 5981: 0.0009978192195324795
Position 4104: 0.0009706152043843181
Position 2856: 0.000945365755641383
Position 2539: 0.0009057230112492109
Position 7464: 0.0009033176278658942
Position 352: 0.0008747194173672581
Position 6541: 0.0008517093295027794
Position 7165: 0.0007424161626554761
Position 5854: 0.0007358293730091788
Position 5636: 0.0007189443967787203
Position 5609: 0.0006477155597135236
Position 8171: 0.0006220997976128241
Position 355: 0.0006165920090455558
Position 1516: 0.0006015007980195488
Position 2394: 0.0005480149088587907
Position 661: 0.0005034372407170662
Position 8386: 0.0005031749037446011
Position 1585: 0.000427496200831757
Position 1099: 0.0004064159100880419
Position 7807: 0.0003254408325365218
Position 2235: 0.00032337627964191683
Position 277: 0.0003127807343822843
Position 7840: 0.0003019296308755588
Position 2704: 0.0002845920360737819
Position 7310: 0.0002741343665628867
Position 295: 0.0002564290382407908
Position 3068: 0.00024064115079896434
Position 4612: 0.00023037571294180358
Position 3478: 0.0002082344623418747
Position 7887: 0.00020241853223270162
Position 4987: 0.00019090189700909888
Position 1323: 0.00018966379453756976
Position 1223: 0.00018733352232477732
Position 3495: 0.00017850357851230354
Position 8059: 0.00014665781153676164
Position 7771: 0.0001288453134002142
Position 445: 0.00012708538014453738
Position 8145: 0.00012496301242472633
Position 7326: 0.00012117105273448182
Position 1538: 0.00011507452039641833
Position 7276: 0.00010910801738808847
Position 1987: 0.00010762532409677891
Position 1913: 0.00010029122425221588
Position 3010: 9.707201516145271e-05
Position 706: 8.702182563427871e-05
Position 1739: 8.523687476051575e-05
Position 7170: 8.44726647007205e-05
Position 423: 7.965039434021674e-05
Position 1609: 7.793035142087301e-05
Position 8131: 7.445916554716034e-05
Position 410: 7.272383141680749e-05
Position 442: 6.92126793628424e-05
Position 1522: 6.78538394121033e-05
Position 523: 6.651613048672128e-05
Position 6405: 6.427933034316148e-05
Position 8300: 5.5874131857260944e-05
Position 2191: 4.985606897417262e-05
Position 736: 4.8111084122325195e-05
Position 8115: 4.738736591107922e-05
Position 6216: 4.552935939345861e-05
Position 3502: 4.099061345012902e-05
Position 743: 3.999024401485303e-05
Position 1821: 3.72759661996049e-05
Position 3720: 3.634106518877255e-05
Position 676: 3.5855131990671615e-05
Position 1276: 3.366602548476444e-05
Position 2075: 3.310299524559415e-05
Position 7251: 3.2938500248313946e-05
Position 357: 2.9333107367841162e-05
Position 2486: 2.9093236066808903e-05
Position 7729: 2.8504341233066512e-05
Position 7707: 2.4324125646652228e-05
Position 1493: 2.3085568740656987e-05
Position 3241: 2.1704088016199615e-05
Position 3273: 1.988002297113477e-05
Position 3756: 1.8028763218681537e-05
Position 2661: 1.6908690269375253e-05
Position 8065: 1.6363474781149616e-05
Position 396: 1.337015106645935e-05
Position 4152: 1.2356855109807763e-05
Position 859: 1.1042467154629772e-05
Position 7257: 9.640063662766166e-06
Position 1296: 7.84140629314614e-06
Position 828: 5.611430063227116e-06
Position 1476: 4.240997381797847e-06
Position 3424: 4.093596901729497e-06
Position 1059: 4.031582356513123e-06
Position 4905: 2.88477634309052e-06
Position 4484: 2.233194009809153e-06
Position 4170: 1.3529561477366369e-06
Position 1327: 1.1036091014619067e-07
Position 2208: 4.6023655312427244e-08
Position 3282: 4.177276047944541e-08
Position 3089: 3.08269305651583e-08
Position 1650: 2.9262759879583442e-08
Position 1136: 1.6417256256920505e-08
Position 465: 1.1494354679557749e-08
Position 291: 9.898749005260509e-09
Position 1595: 9.824597025404713e-09
Position 165: 9.488740887053004e-09
Position 1019: 9.279040229313507e-09
Position 771: 6.75012706997621e-09
Position 1402: 6.442320418291453e-09
Position 535: 5.568361505938968e-09
Position 1744: 4.983437388076703e-09
Position 1518: 4.1073582893959516e-09
Position 1388: 2.82547838631005e-09
Position 759: 2.3343609843128924e-09
Position 1030: 1.869178482694089e-09
Position 1163: 1.497354824541491e-09
Position 489: 1.1440198285625615e-09
Position 303: 1.056327584228366e-09
Position 799: 9.204406774986804e-10
Position 368: 8.670753077857168e-10
Position 906: 2.0917126324363395e-10
Position 876: 1.6964371035065177e-10
Position 548: 5.821551942981908e-11
Position 810: 4.388609616866028e-11
Position 573: 4.03202510179586e-11
