Gene = MXRA8
Position 3513: 0.0032872882147401655
Position 3936: 0.0032148380758836737
Position 4170: 0.0031098185458994427
Position 2698: 0.003052136304630435
Position 3534: 0.002826168746758429
Position 5236: 0.0028051764524308067
Position 4290: 0.002716013118663008
Position 3795: 0.002683172899439201
Position 2043: 0.0026562706535632015
Position 3705: 0.0026213737999252916
Position 285: 0.002287255576783982
Position 2507: 0.002157736832771722
Position 1634: 0.001843968939533011
Position 1811: 0.001384125313463773
Position 4466: 0.0013445028197468995
Position 4266: 0.0013209094158367206
Position 4962: 0.0011510740541372131
Position 2555: 0.001101277869473682
Position 1747: 0.001068947834099842
Position 437: 0.0010453037456644135
Position 1430: 0.0010420531304631952
Position 5262: 0.0009596709724895535
Position 4325: 0.0008495600213260145
Position 2582: 0.000802064219753081
Position 1036: 0.00079877600975145
Position 5372: 0.0007732548665252362
Position 5612: 0.0007686697674526963
Position 5481: 0.0007408299387165209
Position 2122: 0.0006627303617022661
Position 893: 0.0006588280343816687
Position 946: 0.0006507751331223
Position 2371: 0.000634623158994277
Position 3951: 0.0006114521804555839
Position 3317: 0.0005978103543723682
Position 1540: 0.0005353764778404384
Position 5111: 0.0005243117436333704
Position 1250: 0.000519353324643991
Position 5071: 0.0005087244278451614
Position 4075: 0.0004962344050904533
Position 361: 0.0004918987260203409
Position 2073: 0.0004828634733522893
Position 2440: 0.0004385562350747644
Position 4862: 0.00043073042704625507
Position 2459: 0.0004243442746912219
Position 4959: 0.00041079945329993746
Position 386: 0.00039752782808926107
Position 4322: 0.0003950914156165647
Position 5732: 0.0003831542924405775
Position 5382: 0.00037855630688656396
Position 974: 0.0003776670530500971
Position 4767: 0.00035586457097037976
Position 5524: 0.00035123272392355797
Position 5272: 0.00033109553401724975
Position 5624: 0.00030472143695154785
Position 5409: 0.00029496962186852365
Position 3830: 0.00027147586614813826
Position 4077: 0.0002482275888476287
Position 5827: 0.00021156571903156764
Position 2314: 0.00020459927111436427
Position 5692: 0.0002022442914062818
Position 1246: 0.00019394080352153433
Position 5290: 0.00017530516300657146
Position 1469: 0.00017302061319338376
Position 1715: 0.00016574262496325904
Position 4629: 0.0001654968773327107
Position 1639: 0.0001646917401214091
Position 1311: 0.0001602339243198451
Position 257: 0.0001593202301099566
Position 4869: 0.00014110449939431618
Position 1574: 0.0001408246973082808
Position 261: 0.00014043038965289224
Position 2153: 0.0001398286623002942
Position 898: 0.00013276510364893613
Position 1148: 0.00012403969273871402
Position 988: 0.00010811391049793144
Position 4807: 0.00010783479054914303
Position 1184: 9.858255277655832e-05
Position 4652: 8.239353691906579e-05
Position 5448: 7.557272269750784e-05
Position 3504: 7.353871174274139e-05
Position 5446: 7.305902546482536e-05
Position 4634: 7.303937321552418e-05
Position 4916: 7.048605376031543e-05
Position 4874: 6.954476201549485e-05
Position 450: 6.759276922407678e-05
Position 4668: 3.029776794888322e-05
Position 4485: 2.8380832695407628e-05
Position 1134: 2.7970961591525063e-05
Position 4450: 2.5652895862626427e-05
Position 703: 2.011219868647901e-05
Position 1335: 1.6317418472467375e-05
Position 921: 1.413082014366376e-05
Position 1308: 5.154939785254781e-06
Position 1358: 5.007532859879845e-06
Position 175: 4.59209140557215e-06
Position 3278: 4.555441166951314e-06
Position 1562: 4.156520583506504e-06
Position 1365: 3.893820569059605e-06
Position 1266: 3.6241404571826905e-06
Position 3883: 2.797948699631322e-06
Position 195: 2.517208967808823e-06
Position 172: 2.4971114688149277e-06
Position 1504: 1.921107337273838e-06
Position 1410: 1.5913513114057377e-06
Position 326: 1.1640696661756417e-06
Position 1854: 7.307082744759358e-07
Position 1260: 6.179340247037409e-07
Position 185: 5.943833345462461e-07
Position 295: 5.895488314097657e-07
Position 1162: 5.694054984597595e-07
Position 1299: 4.96031397344469e-07
Position 1155: 3.800920421762381e-07
Position 687: 3.2555144152685713e-07
Position 3501: 2.30860588265842e-07
Position 1093: 2.0552541556453794e-07
Position 714: 1.3165555777652207e-07
Position 749: 1.1278186982880222e-07
Position 2092: 6.343136944642638e-08
Position 522: 4.810689022707657e-08
Position 239: 3.899697182249463e-08
Position 533: 2.7124891355733706e-08
Position 554: 2.2420026727575715e-08
Position 4681: 2.1777950369981495e-08
Position 620: 1.810149535549978e-08
Position 178: 1.3936661099443683e-08
Position 809: 1.3502308706295774e-08
Position 272: 6.083601447198219e-09
Position 162: 6.005865916791713e-09
