Gene = DDX41
Position 2348: 6.250915288604906e-05
Position 2773: 5.932724081402056e-05
Position 4699: 5.467965041802717e-05
Position 1010: 5.1008138334298074e-05
Position 2308: 4.897497688719149e-05
Position 4883: 4.7118573333067984e-05
Position 2438: 4.287406779558203e-05
Position 5186: 3.885946666096569e-05
Position 1545: 3.513263434383035e-05
Position 5145: 2.8417584886948128e-05
Position 512: 2.8276826785567318e-05
Position 1086: 2.590189036416765e-05
Position 370: 2.28210433326314e-05
Position 5177: 1.2515415120131754e-05
Position 2132: 1.0670510397652691e-05
Position 444: 9.15482462912789e-06
Position 212: 8.92805467285832e-06
Position 844: 8.306255965048515e-06
Position 5267: 7.771736537509785e-06
Position 37: 6.707410620782972e-06
Position 5143: 6.379788699526013e-06
Position 1554: 5.8059285717707095e-06
Position 720: 5.287816908926406e-06
Position 778: 5.101570566855963e-06
Position 3321: 4.638632955315259e-06
Position 1491: 4.3617109582541965e-06
Position 1388: 3.956434694241222e-06
Position 715: 3.585174750189912e-06
Position 652: 3.164097608121867e-06
Position 356: 2.8852286688565017e-06
Position 333: 2.835825635644789e-06
Position 11: 2.0359992447941814e-06
Position 5156: 1.9464661753074473e-06
Position 532: 1.7240582651108055e-06
Position 1229: 1.6512720762430115e-06
Position 29: 1.5346295658627264e-06
Position 5197: 1.4643647207036534e-06
Position 999: 1.4116679351166735e-06
Position 1335: 1.2090877637420131e-06
Position 789: 7.588495825439261e-07
Position 287: 4.639852655624118e-07
Position 27: 4.261020932858565e-07
Position 1129: 3.8303500687172106e-07
Position 578: 3.6947776218009157e-07
Position 706: 3.5083743019475435e-07
Position 854: 2.9839674640821453e-07
Position 145: 2.7635951575361173e-07
Position 1561: 1.6483367020331123e-07
Position 397: 2.4585194738232257e-08
Position 576: 2.393798658991698e-08
Position 57: 1.2489797080957175e-08
Position 227: 4.427068405589661e-09
Position 820: 3.3090414412179327e-09
Position 1242: 5.5738089132320575e-11
Position 499: 3.076574935104329e-14
Position 428: 1.2341532774374135e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 5075: 0.997926613761396
Position 1275: 0.994211777463574
Position 633: 0.99337813049385
Position 2631: 0.986083065944523
Position 5262: 0.982980318717283
Position 1647: 0.9538340346623709
Position 5541: 0.9523790208913377
Position 4823: 0.8812956273336229
Position 4592: 0.7251207393942177
Position 3984: 0.6083957528414843
Position 1479: 0.5613823257801575
Position 2399: 0.5470901962272763
Position 3180: 0.5419872142624128
Position 3621: 0.5418605173681692
Position 4386: 0.3644459024700424
Position 3968: 0.31556555816310056
Position 3673: 0.2803914977362914
Position 2210: 0.2626942346617543
Position 4252: 0.237124767684228
Position 3237: 0.23148461354290092
Position 936: 0.15252990273803219
Position 1447: 0.14006726047169227
Position 4608: 0.13315814807002008
Position 4264: 0.12124826353779072
Position 2443: 0.11868210298216429
Position 4234: 0.10614117804205063
Position 1441: 0.1017968737064696
Position 5863: 0.09338437142508568
Position 2422: 0.08439435721893764
Position 1021: 0.08005110536195116
Position 876: 0.07618185054330036
Position 1444: 0.06637154601807735
Position 2263: 0.06147646308288014
Position 1425: 0.05740482351067509
Position 4802: 0.056514458695625144
Position 2129: 0.04921041482866811
Position 305: 0.045028547099610586
Position 3676: 0.04436534341877881
Position 4312: 0.04172882232533634
Position 952: 0.040890650770880374
Position 4828: 0.03319765106148696
Position 3941: 0.02591608358517584
Position 5833: 0.024965014247554002
Position 5704: 0.023987969389861526
Position 4286: 0.018564252811016545
Position 956: 0.017458921381070372
Position 3200: 0.016470861935888065
Position 2856: 0.014924034397342432
Position 2169: 0.01388358342315853
Position 2107: 0.012056373049891121
Position 2845: 0.01190697273970707
Position 1976: 0.011348019422825076
Position 1027: 0.011023542055132587
Position 4010: 0.010446015902910579
Position 1039: 0.010207999903147068
Position 1030: 0.010000443602093526
Position 4554: 0.009626187522058125
Position 2688: 0.00852586913401088
Position 3570: 0.008448258287930305
Position 1121: 0.007892199579371192
Position 4558: 0.00632680930875013
Position 378: 0.005568463588193878
Position 4443: 0.004632995645068906
Position 3601: 0.003599587613219763
Position 5706: 0.0035273930092531826
Position 5544: 0.0032597413696441326
Position 3990: 0.0032459816547895045
Position 4183: 0.003196424767539015
Position 5333: 0.002826420445875927
Position 1153: 0.002820105118833288
Position 2968: 0.0027417194632680564
Position 2101: 0.00245227475284929
Position 4613: 0.0023145654889793173
Position 2866: 0.002292437486438145
Position 4906: 0.0022622380456521957
Position 4288: 0.0022235041787909975
Position 4930: 0.002130783779201214
Position 1942: 0.0019660275642246505
Position 3908: 0.0018284667323308513
Position 4831: 0.00167797027491209
Position 1685: 0.0016110132495410242
Position 664: 0.0015262824579280103
Position 5221: 0.001513960720763313
Position 4410: 0.0015018572708347033
Position 2149: 0.0014618224810499835
Position 1616: 0.001344460072256111
Position 2948: 0.0013264364295917245
Position 1129: 0.001301755312059625
Position 1044: 0.0012841826279900558
Position 1674: 0.0012098316089359158
Position 906: 0.0011737071373343559
Position 1491: 0.001079493129477261
Position 354: 0.0008849435430739257
Position 3679: 0.0008212192944493131
Position 5875: 0.0008099397061737
Position 1408: 0.0008081414831635137
Position 830: 0.0008048731998602481
Position 668: 0.0008026323422359107
Position 3289: 0.0008017304725609468
Position 5745: 0.0007915136274041332
Position 5606: 0.0007440594734065641
Position 4272: 0.0006999255395995013
Position 2187: 0.0006944525503213066
Position 5662: 0.0006856108663619957
Position 4886: 0.0006827673704789239
Position 3477: 0.0006617668216128814
Position 2649: 0.0006147520280087014
Position 517: 0.0005176109237654917
Position 1174: 0.0004908071381948847
Position 5888: 0.0004884359910378023
Position 3946: 0.0004762721342261984
Position 2269: 0.00043964845718786667
Position 1402: 0.00043732377938358603
Position 1450: 0.0004353441211430621
Position 1072: 0.0004316699465895377
Position 2035: 0.00040886165760369464
Position 5760: 0.0004011255319177798
Position 912: 0.0003890342923199455
Position 1886: 0.0003735962778221323
Position 3190: 0.00036817097989256387
Position 1140: 0.00028967251965089375
Position 5713: 0.0002874074590215018
Position 1284: 0.00028698808222866074
Position 5271: 0.00026798817065319555
Position 3034: 0.0002639521928895632
Position 2920: 0.0002625027875576341
Position 1982: 0.0002526768465672923
Position 3003: 0.00024832030421553846
Position 1067: 0.00022696945284289143
Position 5412: 0.00022639807940273823
Position 5267: 0.00021042991295535353
Position 4116: 0.00020804975494851153
Position 2517: 0.00020760391063667522
Position 917: 0.00018901112649643325
Position 4468: 0.00018532050591916344
Position 651: 0.00017960559679802837
Position 5546: 0.00017440239275653727
Position 1169: 0.0001740824586602918
Position 5732: 0.0001660579768543369
Position 2165: 0.00016058090818034135
Position 1075: 0.000158575382036621
Position 4610: 0.0001573161536711791
Position 1454: 0.0001480882777160783
Position 3574: 0.00014762422027550048
Position 885: 0.0001449005367502406
Position 1051: 0.000144745873891105
Position 1925: 0.00014363162139639286
Position 1575: 0.0001308072268570438
Position 2751: 0.00012281185258146277
Position 2005: 0.00012036142484669353
Position 5748: 0.00011693473838719861
Position 2135: 0.00011462028477477444
Position 854: 0.00011089075441461582
Position 5615: 0.00010922735031103187
Position 479: 0.00010865522635380021
Position 2893: 0.00010826494623594938
Position 424: 0.00010525974816508199
Position 5289: 9.514059261717749e-05
Position 2903: 9.424535576036168e-05
Position 835: 9.048828797603219e-05
Position 1159: 8.737375190211355e-05
Position 5798: 8.712970864747794e-05
Position 862: 8.189865470769735e-05
Position 5774: 7.570068430703259e-05
Position 1496: 7.309826679229279e-05
Position 3015: 6.969226824746346e-05
Position 1100: 6.404465274306142e-05
Position 5766: 6.285317093743612e-05
Position 2934: 6.0406336864268716e-05
Position 3925: 5.819336743872064e-05
Position 105: 5.6765857174598875e-05
Position 2610: 5.245685805980094e-05
Position 2691: 5.214262394142263e-05
Position 1301: 4.2928853174525473e-05
Position 1860: 4.2277854941321055e-05
Position 1069: 3.859223116357941e-05
Position 2915: 3.8401743225136824e-05
Position 3208: 3.802145665648451e-05
Position 1865: 3.700619752752022e-05
Position 1105: 3.410682927113356e-05
Position 5301: 3.193688586853089e-05
Position 3222: 3.1574788891507126e-05
Position 848: 3.0924447644551565e-05
Position 3054: 2.765170565378849e-05
Position 1216: 2.567739104718913e-05
Position 5054: 2.5470547146594208e-05
Position 1837: 2.475601435304524e-05
Position 1540: 2.3070865332064214e-05
Position 1063: 1.928769057985714e-05
Position 5114: 1.910504245506465e-05
Position 140: 1.907920476440886e-05
Position 1304: 1.4815623467794656e-05
Position 5304: 1.2838305310677298e-05
Position 1086: 1.1689260601179688e-05
Position 1687: 1.0972394137588946e-05
Position 5041: 1.0791265880977854e-05
Position 1213: 1.0769296318767876e-05
Position 264: 1.0763404029317945e-05
Position 5052: 1.0643435605030318e-05
Position 685: 1.0221472813069845e-05
Position 209: 9.851549413018755e-06
Position 3784: 8.808242381519663e-06
Position 2746: 8.806747343327727e-06
Position 4955: 7.4617289951745145e-06
Position 5485: 6.628895048204413e-06
Position 1055: 5.793546052783772e-06
Position 827: 5.792589691004269e-06
Position 118: 5.457972934727416e-06
Position 522: 4.850101752337238e-06
Position 1508: 4.302256523620948e-06
Position 5490: 4.055052421567693e-06
Position 550: 3.948422402912659e-06
Position 678: 3.674260375909571e-06
Position 1194: 3.493756712686283e-06
Position 5405: 3.45352510956831e-06
Position 5141: 2.7518260872169285e-06
Position 1606: 2.5985724102379727e-06
Position 1286: 2.409063271231847e-06
Position 1219: 2.3339857591715595e-06
Position 277: 2.1307190900934995e-06
Position 1295: 1.8963143230281384e-06
Position 1298: 1.8628868871456617e-06
Position 485: 1.7779721714050578e-06
Position 5228: 1.439557728947822e-06
Position 605: 1.3873278658803737e-06
Position 1080: 1.295343200080773e-06
Position 1499: 1.2467376695994982e-06
Position 1181: 8.316364961626517e-07
Position 1601: 6.302837109163881e-07
Position 1756: 5.204363162158659e-07
Position 256: 5.127562317434792e-07
Position 1708: 3.9589360634880963e-07
Position 2558: 3.7858998155330515e-07
Position 188: 3.712121816017832e-07
Position 595: 3.630622742523274e-07
Position 2637: 3.5701002384731445e-07
Position 172: 3.524255118703847e-07
Position 729: 3.1929163643679287e-07
Position 4329: 2.612349829923136e-07
Position 2696: 2.6047863461612386e-07
Position 1696: 2.0193713846449449e-07
Position 5462: 1.5990936489054747e-07
Position 2562: 1.1867656828367552e-07
Position 120: 9.581661235311436e-08
Position 1554: 5.9564494533378786e-08
Position 738: 5.19954683311755e-08
Position 3370: 4.775938513929116e-08
Position 153: 3.800141551840027e-08
Position 1784: 3.3472658655446656e-08
Position 529: 2.7676739991128237e-08
Position 844: 2.486044519710383e-08
Position 584: 1.3967872557001655e-08
Position 554: 1.0588878022340516e-08
Position 532: 1.0040038336986215e-08
Position 690: 6.090625024991306e-09
Position 699: 5.320701473241977e-09
Position 795: 4.6028099798656965e-09
Position 602: 4.2788741380354745e-09
Position 170: 4.234755883507168e-09
Position 1729: 3.529843770886014e-09
Position 841: 3.153125455808255e-09
Position 561: 2.1293653287912697e-09
Position 5208: 1.7311900018678508e-09
Position 1589: 1.511822367083053e-09
Position 2868: 1.507796141468898e-09
Position 557: 8.193066861080249e-10
Position 1733: 4.046165637519321e-10
Position 5223: 1.2706965418878443e-10
Position 76: 1.1838541006762668e-11
Position 81: 1.137978285535287e-11
Position 1561: 3.790721751403655e-12
