Gene = Zg16
Position 281: 0.004630703964309097
Position 2254: 0.0045637338141744374
Position 1992: 0.0038700117925652257
Position 723: 0.0025688124456843455
Position 2116: 0.0025102858539626173
Position 2127: 0.0023805696552113517
Position 1396: 0.0023644762469548033
Position 992: 0.001969758110386421
Position 1980: 0.0018141791405362556
Position 1170: 0.0017162853758947425
Position 1502: 0.0016131717762929054
Position 2187: 0.0015895838872247844
Position 1719: 0.0015612527314061043
Position 402: 0.0014996162822828321
Position 634: 0.0014666548405868954
Position 2098: 0.001443980482188235
Position 1236: 0.0013282638346376458
Position 1976: 0.0012207649957059264
Position 1967: 0.0012202241894905027
Position 310: 0.0011663214565558367
Position 291: 0.0011205897337445221
Position 1997: 0.001029667489516775
Position 1563: 0.0010216574660532915
Position 757: 0.00089908284007144
Position 544: 0.0008758728513635393
Position 1706: 0.0008402629361007971
Position 1088: 0.0007940599135283432
Position 1470: 0.0007769655119082417
Position 1959: 0.0007229988619597184
Position 1592: 0.0006936273288421776
Position 2260: 0.0006488369758423308
Position 1709: 0.0006415102769818019
Position 576: 0.0005802384969982107
Position 1521: 0.0005705916156976004
Position 2372: 0.0005573954278100126
Position 572: 0.0005521738538773969
Position 2470: 0.0005010952423811992
Position 214: 0.0004811946836112814
Position 2205: 0.00046866287763631893
Position 879: 0.0003701197602344209
Position 925: 0.00033677792562300675
Position 611: 0.00031356324252108036
Position 1314: 0.0002751004890259642
Position 945: 0.00027070790476968216
Position 467: 0.0002289609976311975
Position 478: 0.0002172498772021229
Position 1531: 0.0002009674980101815
Position 2348: 0.00017670258390469092
Position 1360: 0.0001733468248633123
Position 665: 0.00014420208645996144
Position 954: 0.0001314275070494951
Position 448: 0.00012186770056902772
Position 595: 0.00011563078942865393
Position 2492: 0.00011309737889438336
Position 1828: 0.00011179361877612697
Position 2503: 0.00011109876994267095
Position 437: 0.00010189385387672121
Position 587: 0.0001007957347598638
Position 463: 0.00010038483732732479
Position 117: 9.315383224262006e-05
Position 815: 8.206829399714377e-05
Position 603: 7.946252350757557e-05
Position 1525: 7.885151377069836e-05
Position 168: 6.831105041109243e-05
Position 2105: 6.155038642527061e-05
Position 229: 6.10116155667973e-05
Position 648: 5.8668846823908435e-05
Position 2142: 5.753680227903588e-05
Position 1356: 5.513857873287203e-05
Position 2516: 5.50707071631064e-05
Position 1599: 5.505611771062782e-05
Position 947: 5.2288973230768455e-05
Position 639: 5.201354567384554e-05
Position 1454: 4.5756478389285536e-05
Position 1903: 4.4756797015144275e-05
Position 1811: 4.271194890470373e-05
Position 1033: 4.1530874338126026e-05
Position 1677: 3.979637198155598e-05
Position 2481: 3.8506636169650474e-05
Position 453: 3.1010944837682685e-05
Position 407: 3.06777175579627e-05
Position 960: 2.998778104738202e-05
Position 131: 2.9310558613552075e-05
Position 258: 2.529812668006366e-05
Position 850: 2.2036208267429592e-05
Position 774: 2.0958959830648994e-05
Position 642: 2.0078108656928358e-05
Position 1742: 1.9424025566256583e-05
Position 867: 1.8245415689764446e-05
Position 607: 1.823901937575966e-05
Position 196: 1.7515543096600312e-05
Position 1787: 1.620347596561203e-05
Position 404: 1.568619762613865e-05
Position 1100: 1.4946135678202333e-05
Position 1173: 1.4759917809407799e-05
Position 1523: 1.4535171098498426e-05
Position 1606: 1.4365035896612667e-05
Position 2139: 1.4091007112445154e-05
Position 1785: 1.2377469667683402e-05
Position 1790: 1.1961056807975627e-05
Position 1613: 1.171327664822957e-05
Position 149: 1.1646249679213726e-05
Position 2131: 1.1512789516191705e-05
Position 1711: 1.0244096730713277e-05
Position 518: 7.702051621380088e-06
Position 761: 7.481696928829481e-06
Position 1480: 5.999486400030196e-06
Position 1316: 5.931778630792465e-06
Position 824: 3.825816186938954e-06
Position 234: 3.1546305871334013e-06
Position 142: 3.151489077040335e-06
Position 369: 2.8457328215348353e-06
Position 853: 2.769012089910839e-06
Position 963: 2.622708492433881e-06
Position 1445: 2.555311292020352e-06
Position 881: 2.523075559626766e-06
Position 2267: 2.373013979545176e-06
Position 210: 1.78888203127308e-06
Position 418: 1.6871779804793796e-06
Position 1622: 1.2956947609608337e-06
Position 968: 1.2280817315444428e-06
Position 846: 1.1980387500359976e-06
Position 1108: 1.1674525861084056e-06
Position 1619: 1.1016133145769728e-06
Position 427: 1.0740504217776153e-06
Position 420: 8.732816523831225e-07
Position 2452: 8.321363197288158e-07
Position 1047: 6.184430446670683e-07
Position 789: 3.7106136230267013e-07
Position 793: 2.7252501040094905e-07
Position 778: 1.711396897635894e-07
Position 1044: 6.411987899382855e-08
Position 826: 3.826750575902274e-08
Position 1053: 1.7339856347509008e-09
Position 1055: 1.502917789646565e-09
