Gene = mEFTs
Position 1202: 0.01823213560120081
Position 1141: 0.008055298023298678
Position 1452: 0.006558999182646367
Position 1443: 0.002789631224550655
Position 1557: 0.0020497476174712657
Position 1157: 0.0017831106693095495
Position 742: 0.00118911542165812
Position 1482: 0.001109170033476505
Position 1491: 0.00045651493092318954
Position 1383: 0.00039621894494913624
Position 1748: 0.0003543141373373213
Position 1560: 0.00021523328916958582
Position 1515: 0.00015920630507084988
Position 1602: 0.00014769664605483024
Position 1581: 0.00010412953153869929
Position 1509: 8.72597457390429e-05
Position 86: 8.428673016250396e-05
Position 127: 7.972665503184052e-05
Position 1819: 5.5429036324141205e-05
Position 1530: 4.652063157343817e-05
Position 247: 4.1005932410679466e-05
Position 846: 3.280082854769602e-05
Position 1305: 2.7499987158733936e-05
Position 303: 2.6052373838448232e-05
Position 1689: 2.4227914013446296e-05
Position 451: 2.3927296615483748e-05
Position 1115: 2.3850353138309695e-05
Position 1756: 2.2638694662130613e-05
Position 1641: 2.1762344500503976e-05
Position 264: 2.1690213954623828e-05
Position 1722: 1.9603165003383758e-05
Position 93: 1.2629995986635113e-05
Position 412: 1.1985204933261446e-05
Position 831: 1.1803422132200269e-05
Position 352: 1.1626043835823282e-05
Position 297: 1.1404376578944048e-05
Position 1539: 1.0782752121582969e-05
Position 976: 9.013158209431526e-06
Position 1372: 8.71617251684994e-06
Position 1454: 8.701584505426487e-06
Position 1695: 8.566438990430811e-06
Position 1408: 6.444255028910146e-06
Position 1323: 4.5421761535410115e-06
Position 843: 4.081681125628659e-06
Position 524: 3.83619065431097e-06
Position 392: 2.7845638616220424e-06
Position 996: 2.7167257616274506e-06
Position 916: 2.5374174791289434e-06
Position 980: 2.1344802281089423e-06
Position 672: 1.9723996680926985e-06
Position 1664: 1.9565312133354355e-06
Position 1762: 1.6948238782385982e-06
Position 1605: 1.5065432930606464e-06
Position 1218: 1.4119893308891674e-06
Position 204: 1.3648946477938541e-06
Position 870: 1.3258628241889084e-06
Position 1392: 1.0998511965576654e-06
Position 1648: 8.346808933609785e-07
Position 98: 8.307017607466587e-07
Position 143: 7.578021868032451e-07
Position 1719: 5.147455562130255e-07
Position 349: 4.786987646805241e-07
Position 1524: 4.124786669137654e-07
Position 852: 3.4716434755710785e-07
Position 879: 2.8550460829561825e-07
Position 886: 2.828238529509033e-07
Position 328: 2.8103580908530233e-07
Position 1711: 1.9302027052187504e-07
Position 578: 1.703649539550755e-07
Position 1729: 9.917933934132978e-08
Position 581: 7.93369635704228e-08
Position 1671: 6.241240088161889e-08
Position 892: 5.44633460558092e-08
Position 358: 3.920367581944772e-08
Position 963: 3.6736110171693745e-08
Position 1060: 2.558023745841128e-08
Position 521: 2.1451774114123988e-08
Position 217: 1.5005763396570886e-08
Position 1724: 1.368402546977723e-08
Position 1700: 7.585075104027477e-09
Position 1399: 7.505637383800137e-09
Position 544: 6.016634714532701e-09
Position 1071: 5.29490726502472e-09
Position 653: 3.1963039696799964e-09
Position 645: 2.1647615186672603e-09
Position 548: 2.1314290127395013e-09
Position 336: 2.0917153579639655e-09
Position 674: 1.8855209658795287e-09
Position 633: 1.3320948359420893e-09
Position 1272: 9.393040955911485e-10
Position 951: 8.297102361002592e-10
Position 360: 4.952931350946327e-10
Position 1697: 4.4081236386389725e-10
Position 1617: 3.7340616423382244e-10
Position 622: 3.617472114794173e-10
Position 220: 1.8993733008512362e-10
Position 593: 8.713457292542593e-11
Position 1221: 7.944843075717837e-11
Position 526: 2.7157811472423265e-11
Position 1593: 2.2894733288769456e-11
Position 1080: 1.5641635969499862e-11
Position 590: 1.203049379717583e-11
Position 1650: 9.000125362434118e-15
Position 1076: 3.8356482846792546e-16
Position 657: 8.797203303214026e-17
