Gene = Nhej1
Position 10587: 0.020155440507291893
Position 4768: 0.018264143000801227
Position 6957: 0.013713445273272937
Position 14756: 0.0114358347537028
Position 2079: 0.011330440335829632
Position 4773: 0.010977252744712809
Position 9678: 0.010776353232346174
Position 1235: 0.010218036709236406
Position 2114: 0.010025145593649554
Position 5631: 0.009939161708293127
Position 10371: 0.009416584408137
Position 11041: 0.008970112646092042
Position 7706: 0.008633598155865434
Position 1047: 0.008084751556123293
Position 8348: 0.007007668210926839
Position 11749: 0.006715998415231423
Position 9899: 0.006622848388861951
Position 8821: 0.0058967257398240555
Position 7482: 0.005271880594274458
Position 1100: 0.004619264892461823
Position 7522: 0.0043111661242972105
Position 6268: 0.004216064383729463
Position 1217: 0.004060144304326659
Position 1448: 0.0036579434110973873
Position 7774: 0.003624718430877718
Position 7655: 0.00345032347481231
Position 11046: 0.0034250725948204008
Position 8484: 0.003238830320071427
Position 9126: 0.003094767587395844
Position 1431: 0.00293323156536448
Position 1552: 0.0029201383070644946
Position 2819: 0.002825799403905288
Position 7826: 0.00274105143886287
Position 4796: 0.0025049018830549125
Position 7098: 0.0022052299591335707
Position 7245: 0.0021113578696474195
Position 4874: 0.002106401711255592
Position 2464: 0.0019288140228912465
Position 2869: 0.0018614927427860189
Position 1152: 0.0018476028930515408
Position 6491: 0.0014479988818039602
Position 1193: 0.0014459259447139549
Position 4900: 0.0014193258028503783
Position 7176: 0.0012197591315598973
Position 3041: 0.0011799571162562786
Position 2924: 0.0010443879393742738
Position 1375: 0.0010398658331293863
Position 3281: 0.001003213555773528
Position 1169: 0.0009958327700550099
Position 5104: 0.0009278297225178001
Position 1318: 0.0009163644088751555
Position 4895: 0.0008439500220521345
Position 1574: 0.0007678264387846187
Position 7470: 0.000751804461886132
Position 8908: 0.0007221575578792298
Position 4829: 0.0007171263516623815
Position 1673: 0.0006119433745217563
Position 1145: 0.0005615023495439558
Position 4822: 0.0005270199777769328
Position 5821: 0.0005230700151065204
Position 1462: 0.0005208591911486202
Position 921: 0.0005150700534548664
Position 3295: 0.0004658828995863449
Position 2277: 0.0004623939031509197
Position 3742: 0.00044318049495857667
Position 4236: 0.00041576117502655353
Position 7307: 0.0004051826805745369
Position 1848: 0.00038187526626432103
Position 6990: 0.0003767903396421239
Position 5435: 0.00036805949383247183
Position 470: 0.00033702266284949374
Position 5742: 0.0003367909291338038
Position 1478: 0.00029409945901689646
Position 2047: 0.00029134348651892536
Position 2789: 0.0002906886269909994
Position 1834: 0.00026213651273481435
Position 292: 0.0002602328470958357
Position 5978: 0.0002535358102939714
Position 1224: 0.00025212446040362413
Position 6239: 0.00022974889541850046
Position 4173: 0.00022700815590321314
Position 6094: 0.00022099576837106717
Position 2624: 0.00022058727967377094
Position 1060: 0.00021356292661707364
Position 2140: 0.0001766532115498573
Position 2526: 0.0001705740803153081
Position 3319: 0.00016641058336675144
Position 5937: 0.00015596299063001703
Position 3249: 0.00015209860706236214
Position 5005: 0.00015105181596554028
Position 2687: 0.00015078225340217204
Position 211: 0.00013954840776160757
Position 3350: 0.00013472903180372008
Position 839: 0.00013400592766386955
Position 2222: 0.00013073202976491427
Position 888: 0.00012561094383849926
Position 1493: 0.00011408762135942575
Position 3573: 0.00011276224087496944
Position 2871: 0.00011125412755466506
Position 2747: 0.00011015278685109117
Position 4985: 9.162950962782266e-05
Position 1012: 8.079378587984918e-05
Position 1006: 7.629681907907575e-05
Position 2026: 7.412475058091923e-05
Position 3695: 7.228205620891142e-05
Position 3692: 7.057047025432528e-05
Position 3043: 6.865096696677395e-05
Position 2265: 6.720322368279432e-05
Position 2995: 6.300098200047249e-05
Position 5688: 5.9461099458254524e-05
Position 1472: 5.857181769559257e-05
Position 3648: 5.247845488707597e-05
Position 262: 4.913152031087202e-05
Position 5073: 4.1373425686499476e-05
Position 1743: 3.527316879875623e-05
Position 3218: 3.0176825060322265e-05
Position 1855: 2.8902029656811497e-05
Position 3324: 2.8834443467211807e-05
Position 2329: 2.675364989098246e-05
Position 1584: 2.5312674000969227e-05
Position 791: 2.4224632357707576e-05
Position 4880: 2.4015130482590593e-05
Position 2603: 2.1647534417795923e-05
Position 1823: 2.0420238053246607e-05
Position 925: 1.8488070624149076e-05
Position 231: 1.5846396350964348e-05
Position 1820: 1.4851869080262909e-05
Position 743: 1.3735267668230584e-05
Position 3194: 1.3419190634642342e-05
Position 894: 1.150683637645417e-05
Position 474: 1.0681908864928645e-05
Position 695: 1.041869804215786e-05
Position 333: 1.0192805251199207e-05
Position 387: 9.676471492122146e-06
Position 981: 9.336399042517429e-06
Position 648: 8.937081752310695e-06
Position 552: 8.741619786501557e-06
Position 600: 8.382449630460277e-06
Position 249: 5.90221003747232e-06
Position 505: 5.595447442923479e-06
Position 4282: 4.741675733914801e-06
Position 320: 3.953266952765108e-06
Position 487: 3.518021498346237e-06
Position 1488: 2.5836619195041184e-06
Position 910: 2.0503452887909687e-06
Position 905: 1.782765905623923e-06
Position 1499: 1.2476032509251062e-06
Position 1328: 7.801263134293339e-07
Position 1984: 7.376372105941338e-07
Position 1282: 5.098635381743241e-07
Position 1490: 4.984019935845812e-07
Position 1286: 4.924651218085888e-07
Position 225: 4.6679329867821045e-07
Position 948: 3.0812459628137914e-07
Position 2122: 3.0023087431950986e-07
Position 1288: 2.246168727193754e-07
Position 1062: 1.8834209533068252e-07
Position 1020: 8.658504992785213e-08
Position 2174: 8.186712425884849e-08
Position 1928: 7.544490919950838e-08
Position 1298: 7.427251559265246e-08
Position 242: 7.181946597373418e-08
Position 983: 6.7838215416005e-08
Position 933: 5.4982884142814466e-08
Position 937: 4.4337380634721986e-08
Position 988: 2.91729227696168e-08
Position 1506: 2.1642967741116136e-08
Position 303: 1.8139760037359965e-08
Position 1891: 9.272938198902053e-09
Position 1334: 7.326336826394331e-09
Position 339: 4.551922189505238e-09
Position 156: 2.9527440133684266e-12
Position 347: 1.2911535008568757e-14
Position 417: 1.1429543667202865e-14
Position 104: 1.0542568813718955e-14
Position 365: 4.075243103632795e-15
