Gene = St5
Position 21520: 0.07065098727826287
Position 7046: 0.06768623254905831
Position 19222: 0.062275826434365536
Position 14754: 0.06122044485251834
Position 690: 0.05877848631875206
Position 15821: 0.04737679594990921
Position 3323: 0.04501684310817187
Position 383: 0.04460186021689387
Position 5678: 0.04235502258768979
Position 14273: 0.04172331719730437
Position 14982: 0.035976167527209835
Position 7922: 0.031899478571331824
Position 16013: 0.03052154035632198
Position 704: 0.02295889134043276
Position 1106: 0.022429428749155496
Position 15222: 0.020242381848995884
Position 3843: 0.020046427874312645
Position 1080: 0.018038751783918682
Position 6918: 0.0156334677756264
Position 1146: 0.015252367816427036
Position 785: 0.014321078833136464
Position 14733: 0.013338850905011176
Position 15772: 0.012669071619272122
Position 17158: 0.012613579567959913
Position 738: 0.0125784785115566
Position 16158: 0.01252992514844431
Position 5764: 0.012514232730129471
Position 16327: 0.01215849748162651
Position 15439: 0.011955149312201164
Position 15880: 0.011495971902956328
Position 711: 0.011371282128173687
Position 7026: 0.010814018464540005
Position 15413: 0.01033329402113377
Position 3335: 0.009304435870313835
Position 3284: 0.007931174960376526
Position 6879: 0.007738862234491297
Position 5545: 0.007664902083850995
Position 15307: 0.007304805830812264
Position 15155: 0.0064428296710017895
Position 7120: 0.006331157991635045
Position 15080: 0.0060199958799638945
Position 735: 0.005790224038111976
Position 1122: 0.00560966471065982
Position 4002: 0.005512762079181224
Position 804: 0.005231899374412757
Position 9876: 0.005039516435087
Position 7952: 0.005001299798953759
Position 6882: 0.0049171947221494
Position 660: 0.0042302850025455795
Position 647: 0.004223660515987692
Position 6973: 0.004160545749085018
Position 1182: 0.004076385224597991
Position 1487: 0.003846091167452128
Position 625: 0.003452056345699096
Position 2143: 0.0034517022035273847
Position 924: 0.003425877029229764
Position 13596: 0.0032771574240376793
Position 290: 0.003252903011200354
Position 15928: 0.0026135044822827897
Position 4041: 0.0023425998376285606
Position 15590: 0.002243870879924958
Position 488: 0.002081403336716186
Position 1024: 0.0019547984810331497
Position 709: 0.0018995891560811408
Position 620: 0.0017466154299402073
Position 6159: 0.0016589232377338112
Position 715: 0.0016036436141075928
Position 229: 0.0011281224165820732
Position 1923: 0.0011035180494025955
Position 1110: 0.0010378799294011273
Position 718: 0.0009226881188852785
Position 1763: 0.0008943431574156366
Position 11956: 0.0007577457392805289
Position 9083: 0.0007170684966022341
Position 3093: 0.0006714939133258268
Position 5802: 0.0006521389457438536
Position 5502: 0.0006054540094596617
Position 13337: 0.0005965931576964285
Position 669: 0.0005747984256792376
Position 2819: 0.000568690747066592
Position 3101: 0.0005650487616227311
Position 6668: 0.0005067668046949362
Position 1517: 0.0004780085646497938
Position 2180: 0.00047277964271148033
Position 693: 0.0004330011674516796
Position 2098: 0.00040306242789520634
Position 960: 0.0003213142569938871
Position 2575: 0.00031688619870646296
Position 1496: 0.000283268864102277
Position 753: 0.00028204125381076415
Position 2115: 0.00026875932930823853
Position 3577: 0.0002520808448574244
Position 1157: 0.00025023863723257493
Position 573: 0.00023668934258145916
Position 630: 0.00023057920853293665
Position 2021: 0.00014935002113249506
Position 2924: 0.00013284297146391933
Position 3340: 0.0001324493523310834
Position 1980: 0.00013189111285023323
Position 1631: 0.00012762706394167447
Position 2863: 9.504178352782224e-05
Position 4130: 8.907556395335233e-05
Position 9656: 8.381868393119413e-05
Position 3524: 6.93306170680424e-05
Position 2046: 6.416233557132901e-05
Position 1421: 6.347665860954269e-05
Position 757: 5.9052045506743085e-05
Position 261: 5.517925182325241e-05
Position 5314: 5.4057097849333854e-05
Position 8971: 5.143247813690197e-05
Position 3471: 5.1364605317649844e-05
Position 5958: 5.038590550418598e-05
Position 974: 4.786240096214562e-05
Position 9054: 4.6992049757474074e-05
Position 926: 4.38250628068161e-05
Position 4887: 4.302743778357087e-05
Position 2910: 4.1073618282390534e-05
Position 169: 3.587525566555355e-05
Position 2188: 3.573476265272813e-05
Position 1588: 3.4825256678422365e-05
Position 8354: 3.4604105140399075e-05
Position 2534: 3.1359015743547764e-05
Position 822: 3.1307185724817744e-05
Position 548: 3.070012467885237e-05
Position 1314: 3.007276883850978e-05
Position 747: 2.4041744889602347e-05
Position 2463: 2.377017997199124e-05
Position 7524: 2.2909579183272875e-05
Position 387: 2.240736179464539e-05
Position 728: 2.0873277406384188e-05
Position 2973: 1.9766242499821127e-05
Position 4813: 1.7676175357604077e-05
Position 1942: 1.7509087836484276e-05
Position 1179: 1.7257002213478025e-05
Position 579: 1.584923040419661e-05
Position 497: 1.5579757991369152e-05
Position 2885: 1.4888713025455382e-05
Position 1058: 1.4752944840313287e-05
Position 2834: 1.4338120630338952e-05
Position 425: 1.302707111409091e-05
Position 4998: 1.1567034921739741e-05
Position 4939: 1.0992527929545236e-05
Position 2477: 1.051526977666572e-05
Position 2145: 9.479776175266246e-06
Position 4673: 9.164961313653137e-06
Position 4582: 8.480989836487301e-06
Position 4453: 7.772440833183135e-06
Position 2265: 7.312996367885682e-06
Position 989: 6.999957412704128e-06
Position 898: 6.8725316754984785e-06
Position 2579: 5.5903499176192186e-06
Position 1254: 5.556096692693961e-06
Position 800: 4.463522914332046e-06
Position 4517: 4.334518443331519e-06
Position 268: 3.85814883372816e-06
Position 181: 3.781360084395289e-06
Position 472: 3.4288775823234765e-06
Position 1768: 2.928732004145587e-06
Position 2655: 2.91451897568514e-06
Position 849: 1.2783764180853101e-06
Position 1830: 8.679308395609114e-07
Position 1795: 8.488399579002769e-07
Position 394: 2.2817953137362593e-07
Position 303: 1.5891702899129027e-07
Position 190: 1.1566709029787505e-07
Position 340: 9.778219050641085e-08
Position 200: 8.112882679339611e-08
Position 461: 7.807993072128838e-08
Position 1251: 7.196486600476036e-08
Position 324: 7.156731961790872e-08
Position 601: 7.070894532112955e-08
Position 400: 6.527163241827144e-08
Position 429: 6.000727043647298e-08
Position 586: 5.983293030034732e-08
Position 1087: 5.9186382492565886e-08
Position 1131: 5.672410980741188e-08
Position 312: 5.5690249321762976e-08
Position 272: 4.082434229876689e-08
Position 331: 3.9904051501855074e-08
Position 433: 3.7100591078409285e-08
Position 577: 3.406433365042657e-08
Position 815: 3.1759870814118206e-08
Position 518: 2.997141149813007e-08
Position 1597: 2.20882328949686e-08
Position 986: 2.010274633718561e-08
Position 186: 1.8873640515813123e-08
Position 597: 1.7417665702274328e-08
Position 236: 1.696086437018163e-08
Position 436: 1.658753374228152e-08
Position 515: 1.0342162173492406e-08
Position 504: 8.64264623202578e-09
Position 238: 8.526511165164121e-09
Position 439: 5.476317195878607e-09
Position 1050: 4.622215577683894e-09
Position 326: 3.94208820777851e-09
Position 830: 3.85617084183175e-09
Position 880: 3.719321456600219e-09
Position 591: 1.7838043100742545e-09
Position 317: 1.6695957902240607e-09
Position 595: 1.6102138778962684e-09
Position 242: 8.125008057244947e-10
Position 903: 1.8727109884469915e-10
Position 1268: 6.031819653238209e-11
Position 506: 5.256259329435933e-11
Position 609: 1.6613799199091795e-11
Position 123: 1.4854025641187788e-13
Position 111: 7.598162185666038e-15
Position 106: 2.809725555506976e-15
Position 97: 1.4342015912266985e-15
Position 116: 6.782785947770495e-16
Position 101: 3.3975629190200394e-16
Position 99: 4.240999453867452e-17
