Gene = Hyls1
Position 1168: 4.211612523579506e-05
Position 345: 2.879674290142652e-05
Position 204: 2.666402358418324e-05
Position 189: 2.552683653901973e-05
Position 1414: 1.8040973199232678e-05
Position 1828: 1.2549633712182364e-05
Position 842: 1.2248159222175145e-05
Position 7227: 1.193177519956295e-05
Position 1519: 1.1658660042084225e-05
Position 866: 5.594924247226647e-06
Position 39: 5.582300953668916e-06
Position 886: 5.473345428768857e-06
Position 2793: 3.762012807989287e-06
Position 720: 3.605308455180158e-06
Position 490: 2.571268481835391e-06
Position 7214: 2.0102194983707226e-06
Position 480: 1.7023768739935373e-06
Position 808: 1.616605696207341e-06
Position 751: 1.0469861781496014e-06
Position 1286: 1.0208882877275812e-06
Position 549: 4.2137531189323316e-07
Position 648: 1.7980640073232953e-07
Position 537: 6.669855648000777e-08
Position 515: 1.5460655157617338e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 6220: 0.9618053617704571
Position 506: 0.610398499465645
Position 5577: 0.5408155569033603
Position 5996: 0.4703662065996156
Position 8293: 0.4107273116404935
Position 9542: 0.4100760155092844
Position 6029: 0.2380089357052214
Position 5524: 0.18720812196610795
Position 6445: 0.12767388171311095
Position 9072: 0.1144508931157104
Position 8541: 0.0915660208512858
Position 5542: 0.0783576827833561
Position 3741: 0.07607387148981523
Position 3944: 0.0609551050529831
Position 8920: 0.05624822665613006
Position 282: 0.04682992370628216
Position 9411: 0.042904348639250266
Position 192: 0.032441708408087015
Position 5912: 0.02974162493272585
Position 5503: 0.02807279776178897
Position 439: 0.025855948156933786
Position 1892: 0.023628463743393138
Position 4580: 0.019778778778082172
Position 6674: 0.015363791371255861
Position 9256: 0.015049254428741271
Position 950: 0.0140985855551495
Position 7139: 0.013181953108991444
Position 6419: 0.012513938093202536
Position 670: 0.011343200105049177
Position 4625: 0.010933042901195126
Position 1447: 0.010642294627882153
Position 1642: 0.008781655218596316
Position 9225: 0.008582203169555396
Position 5697: 0.008137411044985282
Position 248: 0.006874573601686175
Position 7523: 0.006728943185009756
Position 8877: 0.006215077980229624
Position 9313: 0.0061801137400739874
Position 6670: 0.005900528055647305
Position 4981: 0.005891054591822699
Position 4552: 0.005382784131139094
Position 8571: 0.005030118681547303
Position 8418: 0.0047242553439566905
Position 7849: 0.004546685938942846
Position 3079: 0.004274514075617278
Position 6689: 0.004274021675981872
Position 343: 0.004072452560634291
Position 593: 0.004041800787032842
Position 8896: 0.003933882370213277
Position 4763: 0.0030881745074686825
Position 8738: 0.0028205475718652787
Position 644: 0.0027345452233072387
Position 8298: 0.0027130992769982174
Position 1463: 0.0026865396194422912
Position 7917: 0.0025960207710556205
Position 9372: 0.002554701753991678
Position 727: 0.0024646057091577286
Position 9018: 0.0024086110120608416
Position 7645: 0.0021642986211947097
Position 8590: 0.001975947219799797
Position 7214: 0.001960588207699669
Position 1718: 0.001933513527544665
Position 3561: 0.0018352485287981958
Position 5886: 0.0018059100917646536
Position 1767: 0.0017870047664778248
Position 3169: 0.0017591133124792136
Position 8238: 0.0017568615782121333
Position 229: 0.0016577623201315564
Position 7698: 0.0016546110259746483
Position 880: 0.0015889901461737966
Position 1395: 0.00151126864124952
Position 7279: 0.0014614686261654013
Position 8476: 0.0014602039253617841
Position 3719: 0.0014393037845106245
Position 2920: 0.001436970748334062
Position 6710: 0.0014241027140697241
Position 8211: 0.0013984914293260569
Position 1212: 0.0013063565205765574
Position 225: 0.0013031367337351181
Position 7586: 0.0012537868012967388
Position 446: 0.0011052844311189134
Position 8805: 0.0011014573844698784
Position 1401: 0.0011004897390050278
Position 5592: 0.0009683446223960416
Position 3880: 0.0009497003481367355
Position 1919: 0.0008837382649475839
Position 6978: 0.0008474385321392813
Position 313: 0.0008021881922598076
Position 8423: 0.0007847141633775319
Position 6481: 0.0007735479534060416
Position 7459: 0.0007659139111905267
Position 7597: 0.0007637207180979974
Position 7492: 0.0007466709654795893
Position 7185: 0.0007206260035962924
Position 563: 0.0007020913641405803
Position 8845: 0.000677966487979213
Position 357: 0.0006602884128339367
Position 381: 0.0006161000243385119
Position 6389: 0.0005880625529480823
Position 3566: 0.0005657351275135659
Position 521: 0.0005240537455830308
Position 6884: 0.0005008728477903247
Position 6176: 0.00042096222583124995
Position 8496: 0.0003989235570571732
Position 6858: 0.0003984809751269625
Position 1619: 0.0003979817364870073
Position 6454: 0.0003724672951154271
Position 417: 0.00033076822255293013
Position 833: 0.00031211458406199533
Position 1418: 0.00025925625616516864
Position 6896: 0.0002559942821958598
Position 370: 0.00023735913244137113
Position 7647: 0.00022714778261958638
Position 1167: 0.00020647746761885704
Position 826: 0.000200669959496853
Position 1359: 0.00020064999750795737
Position 8722: 0.00017981178896525783
Position 6740: 0.00014557673511519627
Position 227: 0.0001057843502297425
Position 2378: 9.702312166958818e-05
Position 7250: 7.904504606259005e-05
Position 574: 7.021105032572327e-05
Position 1841: 6.350727236320371e-05
Position 2313: 6.25028390718209e-05
Position 6250: 5.955911752836649e-05
Position 333: 4.591642972731312e-05
Position 2626: 4.1494445310025826e-05
Position 7194: 3.868190717087647e-05
Position 2018: 3.73028628276676e-05
Position 1064: 3.594807839424965e-05
Position 4114: 3.308477616754937e-05
Position 165: 2.9704217985834982e-05
Position 1142: 2.8669038646066212e-05
Position 1343: 2.64723800887675e-05
Position 200: 2.2300807216635115e-05
Position 535: 1.731817575527547e-05
Position 1089: 1.6175043267898836e-05
Position 1218: 1.5657746541187067e-05
Position 6287: 1.4167805172806367e-05
Position 1474: 1.4057371828099209e-05
Position 1874: 1.1274320653625738e-05
Position 884: 1.1122101244672298e-05
Position 648: 7.0631652800754315e-06
Position 655: 6.547940406215903e-06
Position 392: 6.3525973516587055e-06
Position 2717: 6.040535942045237e-06
Position 242: 5.44515767357915e-06
Position 167: 4.457974370911902e-06
Position 1262: 3.4825725126934804e-06
Position 958: 3.3417913056321496e-06
Position 806: 3.3055819236589183e-06
Position 886: 3.036191753339276e-06
Position 569: 2.0805622307902877e-06
Position 7188: 2.0082733524545774e-06
Position 6468: 1.8747353156148018e-06
Position 1536: 1.6347298622260815e-06
Position 6943: 1.275606811822675e-06
Position 1020: 9.722788350091736e-07
Position 700: 8.969860736810352e-07
Position 2681: 8.123509292902602e-07
Position 1067: 7.646918246936762e-07
Position 411: 5.99813262698207e-07
Position 584: 4.114882681616846e-07
Position 1271: 3.867937667052142e-07
Position 968: 3.666758973570248e-07
Position 158: 3.6548040397168935e-07
Position 149: 2.969156655482667e-07
Position 1519: 2.958797541925459e-07
Position 451: 2.9390778301139616e-07
Position 763: 1.9497465739647207e-07
Position 2228: 1.9145342262562818e-07
Position 1095: 1.589761779546965e-07
Position 1040: 1.5020029333990372e-07
Position 401: 1.476350933174431e-07
Position 758: 7.911120772382982e-08
Position 116: 2.5041649170081053e-08
Position 705: 1.9365324247608402e-08
Position 760: 1.3876034680823178e-08
Position 975: 2.8362597200468592e-09
