Gene = mtDNA-helicase
Position 1724: 4.840961783138933e-08
Position 1147: 4.1889236043749134e-08
Position 1120: 2.594742607277193e-08
Position 441: 1.2012999594879472e-08
Position 992: 8.18138865348256e-09
Position 229: 5.854150617921121e-09
Position 1585: 4.589283988592718e-09
Position 989: 1.939992383199064e-09
Position 1381: 1.8250513285998592e-09
Position 1032: 1.3580064190870322e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9037931008015038
Position 983: 0.6857954929569221
Position 859: 0.16675796520716882
Position 441: 0.06538967291136585
Position 801: 0.051098693107154765
Position 1397: 0.006875988896574905
Position 422: 0.006421041501812171
Position 1015: 0.005411532361360787
Position 1772: 0.0049223916043686896
Position 878: 0.003940540426673476
Position 2150: 0.003571181198775775
Position 1028: 0.0030632437445041482
Position 221: 0.0025630142627610024
Position 1630: 0.002105518733049871
Position 1837: 0.0016733917410051882
Position 1798: 0.00138898033195865
Position 1627: 0.001055970822550409
Position 1759: 0.0010013588426726592
Position 1459: 0.0009569060153122126
Position 864: 0.0009239606705822698
Position 1126: 0.0009007280178606155
Position 922: 0.0005969788825345013
Position 2155: 0.00045297850794573467
Position 1580: 0.00044297430367283536
Position 1058: 0.000436018429624435
Position 477: 0.00042459918379215283
Position 627: 0.00035929127262323657
Position 663: 0.00035145178632706766
Position 450: 0.00033488254190533543
Position 201: 0.00030356494759642525
Position 1343: 0.00029100613123893493
Position 586: 0.00023564046093353227
Position 1095: 0.00021277348407356062
Position 948: 0.00019161632900640556
Position 1883: 0.00018607995206374324
Position 1290: 0.0001765767484112724
Position 541: 0.00016728695477487155
Position 1364: 0.0001652654828221129
Position 1089: 0.00014488339122784914
Position 1840: 0.0001367441606467929
Position 893: 0.00012501203707980573
Position 356: 9.348778572254262e-05
Position 465: 9.204242624133915e-05
Position 1528: 8.243720840936679e-05
Position 250: 7.54211212124722e-05
Position 2121: 3.7378024562936964e-05
Position 111: 3.136205628415025e-05
Position 1975: 2.861438957012819e-05
Position 227: 2.8494145243079088e-05
Position 651: 2.7110677424362576e-05
Position 936: 2.675266745581728e-05
Position 2162: 2.385232373394773e-05
Position 932: 2.3646540324673754e-05
Position 1354: 2.344927146767913e-05
Position 1739: 1.916121711280082e-05
Position 1846: 1.7992007097988626e-05
Position 830: 1.6569038380395098e-05
Position 1106: 1.631406188478975e-05
Position 837: 1.5264639531446953e-05
Position 1957: 1.2275176396795533e-05
Position 2047: 1.1575957880021702e-05
Position 1954: 1.1170718772788618e-05
Position 1243: 1.075125257287602e-05
Position 646: 9.263257239011104e-06
Position 128: 8.132345448082946e-06
Position 1925: 7.5616777885482805e-06
Position 1747: 6.447531583031179e-06
Position 594: 6.3776027322632704e-06
Position 483: 6.1950296448990725e-06
Position 379: 6.0485580738220995e-06
Position 1866: 6.026501618146832e-06
Position 1137: 5.849190065667094e-06
Position 2024: 5.661044676445983e-06
Position 564: 5.476884851479249e-06
Position 707: 5.288729392324735e-06
Position 141: 4.865228311376594e-06
Position 1030: 4.179687926553822e-06
Position 606: 4.152237392379768e-06
Position 173: 3.8080381534094494e-06
Position 275: 3.62327500348745e-06
Position 1327: 3.61610186181123e-06
Position 713: 3.4278007499611707e-06
Position 555: 3.135103701850392e-06
Position 254: 2.9918288840941126e-06
Position 702: 2.825174840130938e-06
Position 167: 1.285541909558549e-06
Position 531: 1.1523157302264662e-06
Position 589: 8.86985922300338e-07
Position 763: 8.765814851205674e-07
Position 612: 6.637134735036569e-07
Position 754: 5.869750536467977e-07
Position 149: 4.79403539908754e-07
Position 152: 3.447750463184375e-07
Position 690: 3.028814255392222e-07
Position 567: 1.6860817374872052e-07
Position 479: 1.1840227637791582e-07
Position 91: 3.152542031864443e-08
Position 819: 2.3814080095062722e-08
Position 182: 1.908140350216084e-08
Position 704: 1.5729724980218096e-08
Position 311: 7.668009274174304e-09
Position 767: 1.4806964408103201e-09
Position 131: 1.3391065364132268e-09
Position 323: 1.1630271380567702e-12
Position 869: 8.98475204886072e-15
Position 325: 2.0057786692217042e-18
