Gene = Gug
Position 20270: 0.0008024336225407134
Position 559: 0.0007572907106850322
Position 6223: 0.0007525323441667349
Position 20947: 0.0007191538305803467
Position 20274: 0.0006754345005558789
Position 19734: 0.0006638781473412658
Position 21408: 0.0006518019270269173
Position 20074: 0.0006473134059898098
Position 21392: 0.0006440190925899658
Position 18756: 0.0005871975203859521
Position 20593: 0.0005082443974833924
Position 19007: 0.0005059822349152518
Position 1698: 0.00042656739020288057
Position 20690: 0.0004188224201310283
Position 20631: 0.00023225188964160555
Position 354: 0.00022716976459595818
Position 18900: 0.0001768858791648555
Position 19822: 0.0001768782118083642
Position 19250: 0.00016668546572929006
Position 1585: 0.00016263954794903856
Position 19948: 0.00012796388216282617
Position 18832: 0.000113347276223328
Position 19383: 0.00010677609759155041
Position 20866: 0.0001034121999796874
Position 19953: 9.436223386334608e-05
Position 259: 9.237245714074253e-05
Position 257: 8.973787682362789e-05
Position 1371: 8.930444675752404e-05
Position 20508: 8.236201530146186e-05
Position 261: 8.188980695571856e-05
Position 20939: 7.750761962471548e-05
Position 263: 7.049988217085983e-05
Position 694: 6.92330230276108e-05
Position 1268: 6.380858562150949e-05
Position 18961: 6.330887413081996e-05
Position 19833: 5.566900076664773e-05
Position 255: 5.1993094490893823e-05
Position 21519: 3.873785980385895e-05
Position 19343: 3.7694463274060615e-05
Position 897: 3.736503719027132e-05
Position 1308: 3.708259591507506e-05
Position 19904: 3.442046101062514e-05
Position 335: 3.231072668751276e-05
Position 18750: 3.136862761522102e-05
Position 22: 2.8532657830818817e-05
Position 20648: 2.5862722065811098e-05
Position 309: 2.4387922416840984e-05
Position 337: 2.4375690318279983e-05
Position 1224: 2.4080483877582184e-05
Position 45: 2.3989157169079255e-05
Position 403: 2.3243766741097443e-05
Position 331: 2.140967178271906e-05
Position 1774: 1.9184454893163337e-05
Position 339: 1.8959506991545587e-05
Position 965: 1.8853757434607745e-05
Position 1652: 1.8745893799096094e-05
Position 1713: 1.7918176107220363e-05
Position 716: 1.6627482434243404e-05
Position 804: 1.6187741330346068e-05
Position 1210: 1.5081449120992416e-05
Position 188: 1.325615004170754e-05
Position 1857: 1.2324094758216697e-05
Position 1362: 1.1190334291692816e-05
Position 1298: 1.0152374169630547e-05
Position 19029: 8.40913662180085e-06
Position 352: 8.343530236102193e-06
Position 299: 8.274039945500674e-06
Position 1701: 8.255603611206843e-06
Position 285: 8.245321485354312e-06
Position 21545: 8.2200670085204e-06
Position 1296: 7.243741960986486e-06
Position 1769: 5.848874957932265e-06
Position 18863: 4.7949018816169195e-06
Position 18845: 4.466784865570853e-06
Position 18787: 4.431692088798811e-06
Position 18905: 3.110450863641671e-06
Position 20436: 2.862637638304155e-06
Position 19252: 1.8980612522306053e-06
Position 19460: 1.6714611541334633e-06
Position 18820: 1.3166619547181843e-06
Position 1572: 1.2225441939417264e-06
Position 18827: 1.197112024997289e-06
Position 18743: 1.094415872267882e-06
Position 18772: 1.0732857857997204e-06
Position 19529: 3.954198909200533e-07
Position 20937: 3.902502009565065e-07
Position 313: 2.9828722102840545e-07
Position 751: 2.2649117506795932e-07
Position 343: 1.2925352779090304e-07
Position 642: 1.2126412588759666e-07
Position 647: 1.0174444026512619e-07
Position 1352: 9.485687997589405e-08
Position 1226: 9.146718888312394e-08
Position 985: 8.216500158479444e-08
Position 770: 6.776958128283087e-08
Position 311: 5.630361845115813e-08
Position 1191: 5.241990142413302e-08
Position 1213: 5.02296371895449e-08
Position 21033: 4.3047443839609233e-08
Position 319: 3.9677510684907105e-08
Position 279: 2.9985741421438445e-08
Position 283: 2.6351981698481547e-08
Position 267: 2.0376941329402453e-08
Position 19612: 1.960598544157685e-08
Position 341: 1.1803990885105083e-08
Position 321: 6.0662572234208155e-09
Position 303: 4.309439951458117e-09
Position 137: 2.801451779173265e-09
Position 586: 1.5714279709320484e-09
Position 273: 1.1889646304022225e-09
Position 611: 8.130909397279771e-10
Position 249: 8.044269705489009e-10
Position 584: 6.406002460651605e-10
Position 139: 4.678031773305981e-10
Position 412: 4.2433527966926235e-10
Position 48: 3.8817547872237164e-10
Position 265: 3.381575115463756e-10
Position 621: 1.4640186159306365e-10
Position 19708: 4.145504677246831e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 18416: 0.9998637724631719
Position 19642: 0.9867836476737419
Position 18621: 0.9684645328513286
Position 19487: 0.9592091224009569
Position 20832: 0.9550993509274771
Position 20362: 0.9445833047281477
Position 21229: 0.6043038106070093
Position 20165: 0.5608538592170008
Position 18944: 0.2634833298907955
Position 19883: 0.22023555480337748
Position 9678: 0.20125309502008584
Position 1499: 0.16768187126399786
Position 12049: 0.14355791949619612
Position 2038: 0.11390970628709263
Position 21188: 0.11114730563982024
Position 22441: 0.10337394656829936
Position 20231: 0.10298989751238302
Position 9178: 0.09613117876958564
Position 9119: 0.051605058673372936
Position 20517: 0.04975125053267306
Position 12068: 0.039778120766784206
Position 21025: 0.033804645747890806
Position 1852: 0.03265420660567234
Position 2079: 0.031181254555098074
Position 20405: 0.03057740196111804
Position 18624: 0.02906307947614553
Position 20074: 0.028418693916189425
Position 21841: 0.022311948050848563
Position 21894: 0.020985695884147292
Position 11230: 0.015906648330190024
Position 9885: 0.012477620266184871
Position 19838: 0.012461684816249333
Position 8731: 0.012452853639214853
Position 19618: 0.01004031037077551
Position 18957: 0.009746417934804404
Position 21952: 0.009323558490498153
Position 19899: 0.008555450269296019
Position 21153: 0.00833784940685014
Position 9159: 0.006741687911561101
Position 9197: 0.006491947832844112
Position 21282: 0.006114481920385127
Position 21608: 0.006005325487818189
Position 8608: 0.00571043009744221
Position 19312: 0.005704601061915414
Position 611: 0.005691153369807492
Position 1952: 0.005418937337275732
Position 18850: 0.005096159032213491
Position 18838: 0.004452633644202242
Position 11613: 0.0042342290504249185
Position 739: 0.004079628425592597
Position 20508: 0.0038591111500990757
Position 21783: 0.003492497504763661
Position 21530: 0.003491556141040657
Position 7638: 0.003409052007138392
Position 21367: 0.0033964998181084493
Position 1949: 0.0028512247786279038
Position 22471: 0.002770623456857331
Position 20645: 0.0023148555094768134
Position 21406: 0.0022371413267534292
Position 18627: 0.0021663714218149175
Position 7277: 0.002155463660521907
Position 1371: 0.002125695032533672
Position 1324: 0.002040634920050128
Position 10052: 0.0019553622416838504
Position 1734: 0.0017874083147187982
Position 20121: 0.0017650061385546755
Position 19923: 0.0017503418804475472
Position 18995: 0.0017218411498832195
Position 9854: 0.0017014825795198052
Position 19661: 0.0016768348237856084
Position 1613: 0.0016742400917528837
Position 19904: 0.0015284511040602178
Position 20307: 0.0014265784291763984
Position 21465: 0.0013814833197427143
Position 9841: 0.0011717232909361228
Position 8926: 0.0011266570689047188
Position 1462: 0.0011018306488304725
Position 8588: 0.0010539424825837145
Position 19459: 0.0010443141219884573
Position 1404: 0.0009393402909544517
Position 807: 0.0007129093963981877
Position 1595: 0.0007048907174267831
Position 1514: 0.0007047518439451804
Position 20457: 0.0006374142422103282
Position 10823: 0.0005825429453393023
Position 19452: 0.0005467071471581479
Position 1976: 0.0005090458220292372
Position 22735: 0.000491025465841323
Position 1109: 0.00047335446956293345
Position 20733: 0.0004445523102643873
Position 4990: 0.0004384616771017314
Position 1646: 0.000402863915168383
Position 1191: 0.00037750961558855885
Position 19440: 0.0003435354947793466
Position 20945: 0.0003185209258713864
Position 1438: 0.0002861211928844242
Position 19247: 0.00028211133273287677
Position 20376: 0.00025753854191155586
Position 19694: 0.00021380731817608422
Position 19263: 0.0002102138169825099
Position 18630: 0.00017026091224899784
Position 6145: 0.00013330225800284038
Position 20314: 0.00011932277335840495
Position 647: 0.00011212768681201146
Position 19424: 9.713529679796702e-05
Position 934: 8.893140490039994e-05
Position 851: 8.890000329401613e-05
Position 21582: 8.863784959463421e-05
Position 829: 8.673787815182939e-05
Position 5839: 8.29275435254143e-05
Position 1551: 7.951524477868833e-05
Position 20532: 7.666664912981895e-05
Position 19321: 7.050018370453771e-05
Position 5034: 6.94244173780613e-05
Position 20538: 6.5117047555891e-05
Position 1667: 4.8719324967338275e-05
Position 20577: 2.8122043949152642e-05
Position 5792: 2.8039836776306385e-05
Position 18648: 2.159726987289017e-05
Position 19044: 1.4397349460937218e-05
Position 335: 1.4332744438062644e-05
Position 1291: 1.2341806488233729e-05
Position 659: 1.1098425925792046e-05
Position 19274: 1.0947096378845084e-05
Position 1471: 1.0438717263019761e-05
Position 19543: 7.90868618054588e-06
Position 443: 7.714489185432768e-06
Position 19007: 7.2862249000186406e-06
Position 619: 3.824386369233076e-06
Position 19516: 3.1153076475812814e-06
Position 352: 3.0863592579074227e-06
Position 367: 2.9891014569082257e-06
Position 1753: 2.9413034585851805e-06
Position 319: 2.291905312167494e-06
Position 370: 2.092861102214829e-06
Position 401: 2.055160304538437e-06
Position 783: 2.0271710016263398e-06
Position 582: 1.6212791298260706e-06
Position 872: 1.5203131519262456e-06
Position 694: 1.3833311077078318e-06
Position 866: 1.3744521740753953e-06
Position 488: 8.509919924595703e-07
Position 162: 6.591902133061301e-07
Position 895: 6.068980048431744e-07
Position 4497: 3.766113823812306e-07
Position 84: 3.525119140804976e-07
Position 412: 1.4481402027080714e-07
Position 447: 1.4033975153593275e-07
Position 18782: 8.349629753962129e-08
Position 18900: 7.923114880635563e-08
Position 373: 7.835477086373681e-08
Position 491: 3.0543445107094396e-08
Position 68: 2.6242639958787595e-08
Position 456: 2.6187133915908747e-08
Position 273: 2.4880527563465336e-08
Position 450: 1.4897132004659436e-08
