Gene = barc
Position 2617: 0.00014793134630182995
Position 8886: 0.00012466481534560733
Position 10233: 0.000110516217020443
Position 9589: 0.00010247160921387756
Position 250: 7.683226696019031e-05
Position 10217: 7.599913154498747e-05
Position 10338: 7.540797719572278e-05
Position 10188: 7.230166584691532e-05
Position 12154: 5.396397126726153e-05
Position 12470: 5.29372502882236e-05
Position 12585: 4.822818446341168e-05
Position 12603: 4.2970824124868334e-05
Position 12531: 3.504919494825284e-05
Position 12522: 3.3812644386207724e-05
Position 12540: 2.981545116723018e-05
Position 12479: 2.7167004727151392e-05
Position 12416: 2.2287345635005512e-05
Position 12737: 2.2013685458144242e-05
Position 12042: 9.153199259843521e-06
Position 12433: 7.70624111050632e-06
Position 6570: 7.073862703124396e-06
Position 3690: 6.863430999408274e-06
Position 5148: 6.054659734176781e-06
Position 12359: 5.845880866817531e-06
Position 6416: 4.954808950034114e-06
Position 12376: 3.6603100221986107e-06
Position 3456: 3.623097877742615e-06
Position 12711: 3.1771612622187693e-06
Position 3495: 2.984446036599262e-06
Position 3813: 2.788080807235553e-06
Position 3666: 2.435001568663444e-06
Position 12741: 1.8829932461972908e-06
Position 3653: 1.783545349285322e-06
Position 3740: 1.724518780680027e-06
Position 12172: 1.603557857728622e-06
Position 12697: 1.4589858148877989e-06
Position 12128: 1.4396979627389907e-06
Position 1796: 1.3806627117996373e-06
Position 11941: 1.022842902599388e-06
Position 2113: 1.0097038749828046e-06
Position 12124: 9.974603933656635e-07
Position 6318: 7.378535484626913e-07
Position 1428: 6.394388882311513e-07
Position 12693: 6.145574665532318e-07
Position 2399: 4.892507556822737e-07
Position 1724: 3.5151970318366146e-07
Position 126: 2.535165691962519e-07
