Gene = THG1L
Position 3454: 0.00011042480328898791
Position 2205: 0.0001068088306377157
Position 4336: 9.786271866145687e-05
Position 3378: 9.633360895451577e-05
Position 1762: 8.964381470041088e-05
Position 4391: 8.677794530367381e-05
Position 4848: 8.601324116823292e-05
Position 2494: 8.38394395679588e-05
Position 1222: 7.932349129250546e-05
Position 3504: 7.712283057149439e-05
Position 1612: 7.65471598847033e-05
Position 1234: 6.392946768614038e-05
Position 267: 4.942485970045154e-05
Position 1815: 4.851286567979129e-05
Position 1788: 4.803316925628042e-05
Position 341: 4.525510292310924e-05
Position 2431: 3.740215923613804e-05
Position 1132: 3.620236435399874e-05
Position 4102: 3.498546195107986e-05
Position 1564: 3.444946148346486e-05
Position 406: 3.211373129391438e-05
Position 2102: 2.9615762101977747e-05
Position 2066: 2.6105237723274586e-05
Position 262: 2.5573143794645452e-05
Position 1500: 2.457975639997266e-05
Position 1138: 2.348873145179562e-05
Position 1312: 2.267163204817703e-05
Position 5430: 1.939442456697186e-05
Position 3488: 1.8622713630042933e-05
Position 3448: 1.8013837206985397e-05
Position 4069: 1.5705922426087596e-05
Position 489: 1.509988063420511e-05
Position 3976: 1.489676352495176e-05
Position 3922: 1.405211025982556e-05
Position 345: 1.404960214199672e-05
Position 747: 1.2792374149931202e-05
Position 723: 9.28122413417752e-06
Position 5379: 8.142879538513797e-06
Position 536: 7.408257754189158e-06
Position 624: 6.9463430986746195e-06
Position 5837: 5.571138935192803e-06
Position 129: 4.952778975365843e-06
Position 6140: 4.513479912618659e-06
Position 4607: 4.475313834084949e-06
Position 5079: 4.305691542681391e-06
Position 5047: 3.9719453119909224e-06
Position 2012: 1.4196587812257286e-06
Position 3859: 3.598043122650308e-07
Position 1533: 3.4140388078362096e-07
Position 4004: 2.891077250325982e-07
Position 880: 1.9203170355904322e-07
Position 1252: 1.889837621077341e-07
Position 1258: 1.8629350093654273e-07
Position 3511: 1.3550832372619124e-07
Position 317: 9.90228173139702e-08
Position 3925: 7.77795367751305e-08
Position 692: 4.3501280931263244e-08
Position 804: 3.748377449865921e-08
Position 1370: 3.336068039534339e-08
Position 779: 2.5171919565931838e-08
Position 3520: 1.9199655584270263e-08
Position 807: 1.757056732587808e-08
Position 3382: 1.6956508280973315e-08
Position 185: 1.689714493981466e-08
Position 603: 1.5708080790790045e-08
Position 3531: 1.4117189262806266e-08
Position 443: 1.2602052276426144e-08
Position 471: 1.0774819865335186e-08
Position 135: 1.2830786042176439e-09
Position 767: 6.922313417865283e-10
Position 685: 6.311954956911075e-10
Position 369: 4.1549019360405524e-10
