Gene = REPIN1
Position 36: 2.9089579435554155e-10
Position 128: 1.4481873990961503e-10
Position 56: 1.2569702716129392e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3578: 0.4123752052800024
Position 1969: 0.23638152949871405
Position 2437: 0.20660175908709313
Position 880: 0.18855228018936857
Position 602: 0.16943953457218225
Position 4919: 0.09980209668506831
Position 1949: 0.07375252950866962
Position 626: 0.044190451540329315
Position 5011: 0.03679522802947132
Position 5226: 0.03403755900128735
Position 3162: 0.030069443966107754
Position 2440: 0.024525230121515914
Position 2869: 0.02436403722799629
Position 1923: 0.024324179715753853
Position 4019: 0.022698927846670904
Position 737: 0.020757987938693854
Position 4836: 0.019772540710496556
Position 951: 0.019355561967313046
Position 4898: 0.018876336311541512
Position 3633: 0.018376701345607788
Position 4101: 0.016150625726325734
Position 2526: 0.015174682283548192
Position 1993: 0.014207169489917505
Position 656: 0.012462592376304819
Position 2752: 0.011443451158736968
Position 4865: 0.006800129778257131
Position 3462: 0.006517069878055323
Position 3139: 0.006472746570556733
Position 3777: 0.005663498127694354
Position 4717: 0.005583944144218145
Position 583: 0.005382166282172322
Position 2788: 0.005156503988279964
Position 3101: 0.004621441180910199
Position 702: 0.004349701998375266
Position 305: 0.004136513439392542
Position 5195: 0.003906087512916138
Position 1883: 0.003461980733244676
Position 1478: 0.00299126605043073
Position 4777: 0.002853632808609082
Position 2471: 0.002792165415041077
Position 750: 0.0025446949192381484
Position 5247: 0.0025043170398926233
Position 1727: 0.0023348383736877293
Position 2691: 0.0015431124137973346
Position 4656: 0.0014854815019944923
Position 2820: 0.0013737828491725075
Position 2335: 0.0013488207532612053
Position 2925: 0.0011348632067539983
Position 2001: 0.0011347484008772683
Position 836: 0.0010387660986262226
Position 608: 0.0008362908947411874
Position 754: 0.000614040880683495
Position 2218: 0.0005888258476166977
Position 4599: 0.0005614771950747443
Position 3383: 0.00046379640625422887
Position 440: 0.00044249917879635197
Position 2766: 0.00042226908841811595
Position 992: 0.00041104682108556107
Position 4427: 0.00039260262044842764
Position 1701: 0.0003278559953905161
Position 995: 0.00032518049624696404
Position 1558: 0.00030812067837983803
Position 3546: 0.0002655840401915041
Position 3510: 0.000258325625745696
Position 4360: 0.0002481236280013546
Position 2270: 0.0002354961575790187
Position 3782: 0.0002303178390889086
Position 2030: 0.00022854481556487248
Position 1340: 0.00022540488921076254
Position 1831: 0.00022249787705087707
Position 1782: 0.0002168426770569398
Position 3596: 0.0002144432867961055
Position 1343: 0.00020047117838435923
Position 901: 0.00017572457068581714
Position 1704: 0.00016541923524431967
Position 513: 0.00013159069980505438
Position 1289: 9.166770222183113e-05
Position 498: 6.600082609710784e-05
Position 823: 6.418828615880542e-05
Position 4782: 6.276410547140122e-05
Position 1122: 6.219256747073677e-05
Position 1022: 5.6556436957782435e-05
Position 1355: 4.840488765949394e-05
Position 1196: 3.02094051225709e-05
Position 797: 2.6685692603268746e-05
Position 980: 2.4583513684915356e-05
Position 1237: 2.374526058811934e-05
Position 661: 1.7062377776746104e-05
Position 931: 1.4823022446693743e-05
Position 838: 1.4715753568394409e-05
Position 1840: 1.2834929201072402e-05
Position 684: 1.0353567383139387e-05
Position 569: 5.047785443401342e-06
Position 354: 2.347756515234409e-06
Position 484: 2.242727343367088e-06
Position 633: 1.4489691478862436e-06
Position 681: 1.4465070499239498e-06
Position 537: 1.384080881530523e-06
Position 677: 6.560571753887359e-07
Position 557: 5.310223715639524e-07
Position 841: 5.120919049961934e-07
Position 613: 4.7389148772379316e-07
Position 228: 3.251676039132361e-07
Position 315: 2.690268517013377e-07
Position 814: 2.62939714535857e-07
Position 139: 2.463523988404286e-07
Position 469: 1.9182809529228388e-07
Position 290: 1.7162352250929943e-07
Position 377: 1.1899364914225005e-07
Position 846: 7.167478822550158e-08
Position 248: 5.8619789506968364e-08
Position 905: 3.585590586580498e-08
Position 400: 3.502759361100429e-08
Position 665: 2.9145814502147365e-08
Position 388: 4.51988928625634e-09
Position 885: 2.9458440884454204e-09
Position 1153: 2.8103561005663406e-09
Position 149: 2.288907949597645e-09
Position 408: 1.2666861264084077e-09
Position 1307: 1.201387762220886e-09
Position 1234: 1.1882331418884656e-09
Position 560: 2.7651204316750493e-10
Position 534: 2.472490817922476e-10
Position 77: 1.572080591529459e-10
Position 81: 1.5681791660418835e-10
Position 454: 1.3233927742645094e-10
Position 151: 1.0218690833971052e-10
Position 95: 8.129536733250816e-11
Position 166: 7.27194469098717e-11
